PoNumber,PostedDate,VendorID,VendorName,InvoiceNo,ProductName,ProductCode,ProductCategory,CategoryCode,UnitPrice,Quantity,OrderValue,DiscountValue,SalesValue,SalesReturn,DebitedAmount,Commission,Year,Month,Day,NetSales,DueAmount,PaymentMethods,BankName,PostedNo
PO-202408-1931,2024-08-13,VND003,Shanti Enterprises,INV-20240813-8112,Hair Color,PRD0052,Hygiene Products,CAT004,3190.85,17,54244.45,14860.81,39383.64,2867.9,36515.74,3701.38,2024,8,13,32814.36,21462.11,Cash,,ENT-20240813-01931
PO-202408-0056,2024-08-12,VND001,Creative Corporation,INV-20240812-5065,Lipstick,PRD0061,Cosmetics,CAT002,2182.64,85,185524.4,44825.98,140698.42,3865.92,136832.5,11017.98,2024,8,12,125814.52,103238.1,Cash,,ENT-20240812-00056
PO-202408-1103,2024-08-12,VND006,Sun Corporation Ltd.,INV-20240812-2434,Sunscreen,PRD0068,Hygiene Products,CAT004,2664.38,9,23979.42,1869.42,22110.0,195.56,21914.44,204.87,2024,8,12,21709.57,6400.13,Bank Transfer,Sonali Bank,ENT-20240812-01103
PO-202408-0183,2024-08-12,VND006,Sun Corporation Ltd.,INV-20240812-9394,Kids Dress,PRD0067,Fashion Apparel,CAT001,1617.67,91,147207.97,31045.84,116162.13,2990.83,113171.3,15444.56,2024,8,12,97726.74,30446.66,Bank Transfer,BRAC Bank,ENT-20240812-00183
PO-202408-0031,2024-08-12,VND006,Sun Corporation Ltd.,INV-20240812-2385,Gloves,PRD0023,Hygiene Products,CAT004,3651.96,12,43823.52,874.42,42949.1,1194.16,41754.94,4526.43,2024,8,12,37228.51,11883.15,Bank Transfer,Sonali Bank,ENT-20240812-00031
PO-202408-0581,2024-08-11,VND004,Organic Solutions,INV-20240811-6502,Face Scrub,PRD0062,Hygiene Products,CAT004,1967.13,98,192778.74,25505.25,167273.49,11108.51,156164.98,13431.86,2024,8,11,142733.12,14492.2,Cheque,Janata Bank,ENT-20240811-00581
PO-202408-1970,2024-08-11,VND007,Style Mart Brand,INV-20240811-8168,Men T-Shirt,PRD0026,Fashion Apparel,CAT001,2718.71,93,252840.03,2701.57,250138.46,21226.41,228912.05,6277.55,2024,8,11,222634.5,51206.48,Nagad,,ENT-20240811-01970
PO-202408-0900,2024-08-11,VND005,Yello Energy Co.,INV-20240811-8104,Women's Skirt,PRD0046,Fashion Apparel,CAT001,2292.83,33,75663.39,10259.91,65403.48,5848.77,59554.71,4282.37,2024,8,11,55272.34,53456.9,Cash,,ENT-20240811-00900
PO-202408-1791,2024-08-10,VND003,Shanti Enterprises,INV-20240810-4072,Luggage,PRD0045,Hygiene Products,CAT004,3478.2,35,121737.0,10594.31,111142.69,9563.32,101579.37,4557.64,2024,8,10,97021.73,29825.67,Nagad,,ENT-20240810-01791
PO-202408-1730,2024-08-10,VND003,Shanti Enterprises,INV-20240810-7642,Body Spray,PRD0001,Cosmetics,CAT002,1703.56,87,148209.72,19551.47,128658.25,2296.77,126361.48,16400.59,2024,8,10,109960.89,62932.48,Bkash,,ENT-20240810-01730
PO-202408-1408,2024-08-10,VND007,Style Mart Brand,INV-20240810-1131,Body Spray,PRD0001,Cosmetics,CAT002,2950.7,70,206549.0,48385.05,158163.95,13010.79,145153.16,8896.14,2024,8,10,136257.02,119549.61,Cash,,ENT-20240810-01408
PO-202408-1544,2024-08-09,VND002,Kazi Tea IND Ltd.,INV-20240809-5230,Scarf,PRD0076,Accessories,CAT003,8043.81,275,2212047.75,221204.78,1990842.97,99542.15,1891300.82,94565.04,2024,8,9,1796735.78,797036.41,Bkash,,ENT-20240809-01544
PO-202408-1544,2024-08-09,VND002,Kazi Tea IND Ltd.,INV-20240809-5230,Scarf,PRD0076,Accessories,CAT003,2320.76,2,4641.52,615.13,4026.39,76.89,3949.5,491.27,2024,8,9,3458.23,2750.2,Bkash,,ENT-20240809-01544
PO-202408-0224,2024-08-09,VND004,Organic Solutions,INV-20240809-7556,Hat,PRD0019,Accessories,CAT003,1553.91,43,66818.13,2145.31,64672.82,1124.15,63548.67,1531.26,2024,8,9,62017.41,13638.94,Bkash,,ENT-20240809-00224
PO-202408-1483,2024-08-08,VND001,Creative Corporation,INV-20240808-4725,Women's Top,PRD0005,Fashion Apparel,CAT001,1793.26,33,59177.58,4842.41,54335.17,3819.55,50515.62,28.91,2024,8,8,50486.71,25017.61,Nagad,,ENT-20240808-01483
PO-202408-1794,2024-08-08,VND004,Organic Solutions,INV-20240808-8804,Luggage,PRD0045,Hygiene Products,CAT004,973.11,40,38924.4,2394.27,36530.13,1505.35,35024.78,2581.4,2024,8,8,32443.38,24059.46,Cash,,ENT-20240808-01794
PO-202408-0133,2024-08-07,VND001,Creative Corporation,INV-20240807-8709,Sunscreen,PRD0068,Hygiene Products,CAT004,1812.31,194,351588.14,35158.81,316429.33,15821.47,300607.86,15030.39,2024,8,7,285577.47,41933.73,Nagad,,ENT-20240807-00133
PO-202408-0133,2024-08-07,VND001,Creative Corporation,INV-20240807-8709,Sunscreen,PRD0068,Hygiene Products,CAT004,3848.11,54,207797.94,13564.25,194233.69,1794.37,192439.32,25127.58,2024,8,7,167311.74,86585.71,Nagad,,ENT-20240807-00133
PO-202408-0567,2024-08-06,VND003,Shanti Enterprises,INV-20240806-3187,Men's Nightwear,PRD0048,Fashion Apparel,CAT001,836.12,47,39297.64,10764.3,28533.34,1098.38,27434.96,304.1,2024,8,6,27130.86,14715.76,Cash,,ENT-20240806-00567
PO-202408-1078,2024-08-06,VND003,Shanti Enterprises,INV-20240806-7249,Men's Nightwear,PRD0048,Fashion Apparel,CAT001,829.06,58,48085.48,11096.32,36989.16,3449.6,33539.56,3711.74,2024,8,6,29827.82,1197.24,Bkash,,ENT-20240806-01078
PO-202408-0217,2024-08-06,VND003,Shanti Enterprises,INV-20240806-4069,Women's Nightwear,PRD0003,Fashion Apparel,CAT001,2020.96,13,26272.48,5537.16,20735.32,2019.17,18716.15,1765.75,2024,8,6,16950.4,13471.1,Cheque,Rupali Bank,ENT-20240806-00217
PO-202408-0362,2024-08-06,VND002,Kazi Tea IND Ltd.,INV-20240806-8816,Body Oil,PRD0059,Cosmetics,CAT002,4492.81,97,435802.57,20162.65,415639.92,2365.67,413274.25,49828.68,2024,8,6,363445.57,312917.22,Bkash,,ENT-20240806-00362
PO-202408-1381,2024-08-05,VND001,Creative Corporation,INV-20240805-5936,Makeup Remover,PRD0032,Cosmetics,CAT002,608.35,49,29809.15,687.83,29121.32,864.5,28256.82,1219.4,2024,8,5,27037.42,26085.38,Cash,,ENT-20240805-01381
PO-202408-1131,2024-08-05,VND001,Creative Corporation,INV-20240805-5836,Baby Wipes,PRD0069,Hygiene Products,CAT004,7226.47,485,3504837.95,350483.8,3154354.15,157717.71,2996636.44,149831.82,2024,8,5,2846804.62,750120.7,Cheque,Sonali Bank,ENT-20240805-01131
PO-202408-0203,2024-08-05,VND001,Creative Corporation,INV-20240805-4775,Hair Serum,PRD0011,Cosmetics,CAT002,2194.4,6,13166.4,2458.34,10708.06,653.33,10054.73,1374.69,2024,8,5,8680.04,4421.26,Cheque,Bkash,ENT-20240805-00203
PO-202408-0203,2024-08-05,VND001,Creative Corporation,INV-20240805-4775,Hair Serum,PRD0011,Cosmetics,CAT002,4268.0,221,943228.0,94322.8,848905.2,42445.26,806459.94,40323.0,2024,8,5,766136.94,109289.7,Cheque,Bkash,ENT-20240805-00203
PO-202408-0203,2024-08-05,VND001,Creative Corporation,INV-20240805-4775,Hair Serum,PRD0011,Cosmetics,CAT002,3418.5,376,1285356.0,128535.6,1156820.4,57841.02,1098979.38,54948.97,2024,8,5,1044030.41,56803.83,Cheque,Bkash,ENT-20240805-00203
PO-202408-0237,2024-08-05,VND007,Style Mart Brand,INV-20240805-2363,Wallet,PRD0051,Accessories,CAT003,1323.08,26,34400.08,9243.46,25156.62,2304.68,22851.94,1123.13,2024,8,5,21728.81,11675.15,Bkash,,ENT-20240805-00237
PO-202408-1131,2024-08-05,VND001,Creative Corporation,INV-20240805-5836,Baby Wipes,PRD0069,Hygiene Products,CAT004,3826.24,68,260184.32,9497.06,250687.26,18024.68,232662.58,6576.06,2024,8,5,226086.52,117517.17,Cheque,Sonali Bank,ENT-20240805-01131
PO-202408-0852,2024-08-05,VND002,Kazi Tea IND Ltd.,INV-20240805-3470,Hand Sanitizer,PRD0004,Hygiene Products,CAT004,929.78,24,22314.72,3635.17,18679.55,863.29,17816.26,2258.36,2024,8,5,15557.9,15257.97,Cheque,Bkash,ENT-20240805-00852
PO-202408-0130,2024-08-04,VND006,Sun Corporation Ltd.,INV-20240804-7027,Jewelry Set,PRD0044,Accessories,CAT003,925.65,4,3702.6,935.72,2766.88,130.87,2636.01,283.95,2024,8,4,2352.06,447.96,Cash,,ENT-20240804-00130
PO-202408-1261,2024-08-04,VND007,Style Mart Brand,INV-20240804-1078,Hair Color,PRD0052,Hygiene Products,CAT004,4535.74,83,376466.42,1411.06,375055.36,32004.96,343050.4,35225.94,2024,8,4,307824.46,60170.57,Nagad,,ENT-20240804-01261
PO-202408-0311,2024-08-04,VND002,Kazi Tea IND Ltd.,INV-20240804-1188,Hoodie,PRD0075,Fashion Apparel,CAT001,1639.82,8,13118.56,985.8,12132.76,609.82,11522.94,1596.92,2024,8,4,9926.02,4389.39,Bkash,,ENT-20240804-00311
PO-202408-0700,2024-08-04,VND002,Kazi Tea IND Ltd.,INV-20240804-3658,Handbag,PRD0020,Accessories,CAT003,2564.91,30,76947.3,10398.62,66548.68,2752.6,63796.08,7712.1,2024,8,4,56083.98,45703.43,Bank Transfer,Sonali Bank,ENT-20240804-00700
PO-202408-0130,2024-08-04,VND006,Sun Corporation Ltd.,INV-20240804-7027,Jewelry Set,PRD0044,Accessories,CAT003,1318.56,199,262393.44,26239.34,236154.1,11807.71,224346.39,11217.32,2024,8,4,213129.07,79026.28,Cash,,ENT-20240804-00130
PO-202408-1352,2024-08-03,VND002,Kazi Tea IND Ltd.,INV-20240803-4269,Hat,PRD0019,Accessories,CAT003,1327.03,88,116778.64,13261.15,103517.49,3880.86,99636.63,14355.17,2024,8,3,85281.46,83930.82,Cash,,ENT-20240803-01352
PO-202408-1162,2024-08-03,VND003,Shanti Enterprises,INV-20240803-7667,Deodorant,PRD0036,Cosmetics,CAT002,2598.22,58,150696.76,14360.26,136336.5,8156.96,128179.54,3544.31,2024,8,3,124635.23,36392.17,Bank Transfer,City Bank,ENT-20240803-01162
PO-202408-0134,2024-08-02,VND001,Creative Corporation,INV-20240802-8833,Hair Gel,PRD0077,Hygiene Products,CAT004,2200.79,42,92433.18,10204.45,82228.73,1179.24,81049.49,7294.87,2024,8,2,73754.62,65780.23,Bank Transfer,BRAC Bank,ENT-20240802-00134
PO-202408-0274,2024-08-02,VND005,Yello Energy Co.,INV-20240802-1738,Shampoo,PRD0007,Hygiene Products,CAT004,2870.56,65,186586.4,50691.69,135894.71,875.57,135019.14,17849.49,2024,8,2,117169.65,75802.02,Bkash,,ENT-20240802-00274
PO-202408-0989,2024-08-01,VND001,Creative Corporation,INV-20240801-7812,Toothbrush,PRD0017,Hygiene Products,CAT004,3294.2,52,171298.4,43375.87,127922.53,1446.0,126476.53,4409.72,2024,8,1,122066.81,18283.42,Cash,,ENT-20240801-00989
PO-202408-0544,2024-08-01,VND007,Style Mart Brand,INV-20240801-8454,Gloves,PRD0023,Hygiene Products,CAT004,749.74,17,12745.58,2075.84,10669.74,630.62,10039.12,220.69,2024,8,1,9818.43,3026.84,Bank Transfer,Rupali Bank,ENT-20240801-00544
PO-202408-1223,2024-08-01,VND001,Creative Corporation,INV-20240801-7253,Kids T-Shirt,PRD0006,Fashion Apparel,CAT001,4276.17,23,98351.91,5772.37,92579.54,3434.38,89145.16,5607.98,2024,8,1,83537.18,43947.24,Nagad,,ENT-20240801-01223
PO-202408-0417,2024-08-01,VND001,Creative Corporation,INV-20240801-1506,Men T-Shirt,PRD0026,Fashion Apparel,CAT001,4258.89,49,208685.61,19856.5,188829.11,14131.42,174697.69,6245.52,2024,8,1,168452.17,117255.98,Nagad,,ENT-20240801-00417
PO-202407-0827,2024-07-31,VND006,Sun Corporation Ltd.,INV-20240731-6234,Men Jeans,PRD0078,Fashion Apparel,CAT001,438.01,56,24528.56,931.4,23597.16,2316.54,21280.62,2479.94,2024,7,31,18800.68,8042.93,Bank Transfer,Dutch Bangla Bank,ENT-20240731-00827
PO-202407-0883,2024-07-29,VND007,Style Mart Brand,INV-20240729-2056,Hair Color,PRD0052,Hygiene Products,CAT004,4237.42,44,186446.48,50200.59,136245.89,5231.29,131014.6,9474.04,2024,7,29,121540.56,107034.86,Cheque,Dutch Bangla Bank,ENT-20240729-00883
PO-202407-1469,2024-07-29,VND001,Creative Corporation,INV-20240729-2519,Body Oil,PRD0059,Cosmetics,CAT002,750.14,29,21754.06,2793.56,18960.5,1717.01,17243.49,601.04,2024,7,29,16642.45,7676.93,Cash,,ENT-20240729-01469
PO-202407-0672,2024-07-29,VND002,Kazi Tea IND Ltd.,INV-20240729-3931,Aftershave,PRD0057,Hygiene Products,CAT004,389.69,10,3896.9,938.44,2958.46,241.76,2716.7,199.46,2024,7,29,2517.24,249.18,Bank Transfer,Dutch Bangla Bank,ENT-20240729-00672
PO-202407-1190,2024-07-29,VND002,Kazi Tea IND Ltd.,INV-20240729-3476,Sanitary Napkins,PRD0030,Hygiene Products,CAT004,1319.96,79,104276.84,26487.43,77789.41,2901.32,74888.09,8209.05,2024,7,29,66679.04,2787.23,Bkash,,ENT-20240729-01190
PO-202407-1344,2024-07-27,VND002,Kazi Tea IND Ltd.,INV-20240727-9188,Footwear,PRD0065,Hygiene Products,CAT004,4741.52,29,137504.08,30745.71,106758.37,9501.88,97256.49,6686.54,2024,7,27,90569.95,6199.03,Cash,,ENT-20240727-01344
PO-202407-1670,2024-07-27,VND004,Organic Solutions,INV-20240727-5850,Mouthwash,PRD0025,Hygiene Products,CAT004,4190.04,51,213692.04,12042.4,201649.64,9809.74,191839.9,26232.62,2024,7,27,165607.28,23110.7,Cash,,ENT-20240727-01670
PO-202407-0548,2024-07-26,VND002,Kazi Tea IND Ltd.,INV-20240726-3767,Feminine Wash,PRD0028,Hygiene Products,CAT004,4011.4,100,401140.0,29294.78,371845.22,15894.23,355950.99,38145.51,2024,7,26,317805.48,104918.23,Cash,,ENT-20240726-00548
PO-202407-0419,2024-07-26,VND007,Style Mart Brand,INV-20240726-3678,Men Polo Shirt,PRD0080,Fashion Apparel,CAT001,1613.2,3,4839.6,337.28,4502.32,37.15,4465.17,617.62,2024,7,26,3847.55,166.59,Cash,,ENT-20240726-00419
PO-202407-0308,2024-07-26,VND006,Sun Corporation Ltd.,INV-20240726-7895,Body Lotion,PRD0064,Cosmetics,CAT002,4738.02,12,56856.24,13960.27,42895.97,877.55,42018.42,2182.36,2024,7,26,39836.06,11640.97,Nagad,,ENT-20240726-00308
PO-202407-0199,2024-07-26,VND005,Yello Energy Co.,INV-20240726-4169,Gloves,PRD0023,Hygiene Products,CAT004,108.42,47,5095.74,1309.77,3785.97,282.41,3503.56,308.45,2024,7,26,3195.11,2713.81,Cash,,ENT-20240726-00199
PO-202407-1928,2024-07-26,VND006,Sun Corporation Ltd.,INV-20240726-7666,Face Toner,PRD0033,Hygiene Products,CAT004,4888.93,19,92889.67,21900.25,70989.42,81.97,70907.45,5076.35,2024,7,26,65831.1,52609.86,Cash,,ENT-20240726-01928
PO-202407-0126,2024-07-25,VND001,Creative Corporation,INV-20240725-1904,Disinfectant Spray,PRD0037,Cosmetics,CAT002,2887.36,62,179016.32,4620.94,174395.38,13780.45,160614.93,15463.75,2024,7,25,145151.18,54510.75,Bank Transfer,Bkash,ENT-20240725-00126
PO-202407-1998,2024-07-25,VND004,Organic Solutions,INV-20240725-6300,Handbag,PRD0020,Accessories,CAT003,3658.84,37,135377.08,22693.44,112683.64,1597.05,111086.59,16195.5,2024,7,25,94891.09,11784.95,Bkash,,ENT-20240725-01998
PO-202407-0275,2024-07-25,VND002,Kazi Tea IND Ltd.,INV-20240725-5154,Men Shirt,PRD0010,Fashion Apparel,CAT001,4496.15,54,242792.1,34282.5,208509.6,3724.4,204785.2,23575.23,2024,7,25,181209.97,30051.2,Bkash,,ENT-20240725-00275
PO-202407-0899,2024-07-24,VND006,Sun Corporation Ltd.,INV-20240724-2763,Sunscreen,PRD0068,Hygiene Products,CAT004,4070.25,71,288987.75,22970.86,266016.89,13848.58,252168.31,21870.84,2024,7,24,230297.47,1369.62,Nagad,,ENT-20240724-00899
PO-202407-1698,2024-07-24,VND007,Style Mart Brand,INV-20240724-8036,Shampoo,PRD0007,Hygiene Products,CAT004,1112.41,65,72306.65,11788.28,60518.37,2397.36,58121.01,6020.98,2024,7,24,52100.03,45697.5,Cheque,Janata Bank,ENT-20240724-01698
PO-202407-0055,2024-07-24,VND003,Shanti Enterprises,INV-20240724-5957,Keychain,PRD0012,Accessories,CAT003,620.95,15,9314.25,2357.43,6956.82,581.68,6375.14,560.22,2024,7,24,5814.92,2636.7,Nagad,,ENT-20240724-00055
PO-202407-0536,2024-07-24,VND003,Shanti Enterprises,INV-20240724-8584,Body Mist,PRD0035,Cosmetics,CAT002,2395.28,9,21557.52,2624.48,18933.04,1686.76,17246.28,1963.23,2024,7,24,15283.05,13174.85,Cash,,ENT-20240724-00536
PO-202407-0583,2024-07-24,VND007,Style Mart Brand,INV-20240724-9629,Women's Skirt,PRD0046,Fashion Apparel,CAT001,392.91,31,12180.21,353.54,11826.67,491.48,11335.19,1483.93,2024,7,24,9851.26,9361.31,Bank Transfer,Bkash,ENT-20240724-00583
PO-202407-0718,2024-07-23,VND003,Shanti Enterprises,INV-20240723-8039,Face Cream,PRD0034,Cosmetics,CAT002,2913.05,23,67000.15,15528.35,51471.8,1177.88,50293.92,4852.2,2024,7,23,45441.72,7061.76,Cheque,Bkash,ENT-20240723-00718
PO-202407-0385,2024-07-22,VND002,Kazi Tea IND Ltd.,INV-20240722-2609,Makeup Kit,PRD0056,Cosmetics,CAT002,1230.74,49,60306.26,10498.62,49807.64,2090.58,47717.06,4427.01,2024,7,22,43290.05,8502.35,Cash,,ENT-20240722-00385
PO-202407-0357,2024-07-21,VND004,Organic Solutions,INV-20240721-3356,Toothbrush,PRD0017,Hygiene Products,CAT004,1820.05,47,85542.35,19837.51,65704.84,6351.12,59353.72,6301.6,2024,7,21,53052.12,13401.94,Cheque,Bkash,ENT-20240721-00357
PO-202407-0680,2024-07-21,VND007,Style Mart Brand,INV-20240721-4855,Foot Care Cream,PRD0041,Cosmetics,CAT002,4305.65,56,241116.4,1862.02,239254.38,670.0,238584.38,7467.48,2024,7,21,231116.9,213797.14,Bank Transfer,Dutch Bangla Bank,ENT-20240721-00680
PO-202407-0191,2024-07-21,VND002,Kazi Tea IND Ltd.,INV-20240721-7042,Kids T-Shirt,PRD0006,Fashion Apparel,CAT001,134.47,7,941.29,147.08,794.21,75.85,718.36,71.96,2024,7,21,646.4,429.46,Nagad,,ENT-20240721-00191
PO-202407-1211,2024-07-20,VND005,Yello Energy Co.,INV-20240720-7314,Body Spray,PRD0001,Cosmetics,CAT002,1160.68,13,15088.84,132.84,14956.0,1234.02,13721.98,1100.11,2024,7,20,12621.87,2396.87,Nagad,,ENT-20240720-01211
PO-202407-0395,2024-07-18,VND004,Organic Solutions,INV-20240718-9238,Personal Toys,PRD0040,Hygiene Products,CAT004,2450.64,11,26957.04,2952.99,24004.05,1078.61,22925.44,70.08,2024,7,18,22855.36,10261.41,Nagad,,ENT-20240718-00395
PO-202407-0730,2024-07-18,VND007,Style Mart Brand,INV-20240718-7274,Underarm Whitening Cream,PRD0050,Cosmetics,CAT002,4567.91,27,123333.57,2602.03,120731.54,2901.37,117830.17,12043.25,2024,7,18,105786.92,101186.71,Cash,,ENT-20240718-00730
PO-202407-0153,2024-07-18,VND006,Sun Corporation Ltd.,INV-20240718-2655,After Sun Lotion,PRD0074,Cosmetics,CAT002,2566.39,74,189912.86,12515.85,177397.01,3305.16,174091.85,13930.25,2024,7,18,160161.6,121808.13,Cash,,ENT-20240718-00153
PO-202407-1207,2024-07-17,VND007,Style Mart Brand,INV-20240717-6301,Hand Sanitizer,PRD0004,Hygiene Products,CAT004,3074.96,71,218322.16,8480.74,209841.42,3695.37,206146.05,26677.74,2024,7,17,179468.31,160720.44,Cash,,ENT-20240717-01207
PO-202407-0786,2024-07-17,VND005,Yello Energy Co.,INV-20240717-5467,Lipstick,PRD0061,Cosmetics,CAT002,895.26,93,83259.18,21742.88,61516.3,776.89,60739.41,815.48,2024,7,17,59923.93,34738.77,Bank Transfer,Janata Bank,ENT-20240717-00786
PO-202407-0248,2024-07-17,VND001,Creative Corporation,INV-20240717-2560,Hair Spray,PRD0071,Cosmetics,CAT002,9138.78,451,4121589.78,412158.98,3709430.8,185471.54,3523959.26,176197.96,2024,7,17,3347761.3,961149.05,Bank Transfer,City Bank,ENT-20240717-00248
PO-202407-0776,2024-07-17,VND001,Creative Corporation,INV-20240717-1871,Makeup Kit,PRD0056,Cosmetics,CAT002,411.78,53,21824.34,5537.32,16287.02,773.13,15513.89,200.04,2024,7,17,15313.85,7061.81,Cash,,ENT-20240717-00776
PO-202407-1727,2024-07-17,VND007,Style Mart Brand,INV-20240717-6473,Hoodie,PRD0075,Fashion Apparel,CAT001,678.35,14,9496.9,1658.51,7838.39,678.16,7160.23,837.19,2024,7,17,6323.04,4419.66,Nagad,,ENT-20240717-01727
PO-202407-0248,2024-07-17,VND001,Creative Corporation,INV-20240717-2560,Hair Spray,PRD0071,Cosmetics,CAT002,2432.93,19,46225.67,2088.78,44136.89,2573.25,41563.64,3732.68,2024,7,17,37830.96,30435.25,Bank Transfer,City Bank,ENT-20240717-00248
PO-202407-0060,2024-07-16,VND005,Yello Energy Co.,INV-20240716-4158,Women's Nightwear,PRD0003,Fashion Apparel,CAT001,3736.94,86,321376.84,77719.94,243656.9,8374.95,235281.95,11248.99,2024,7,16,224032.96,138809.23,Cheque,Rupali Bank,ENT-20240716-00060
PO-202407-0739,2024-07-15,VND001,Creative Corporation,INV-20240715-3687,Face Serum,PRD0053,Cosmetics,CAT002,1563.23,27,42207.21,1948.9,40258.31,2586.18,37672.13,5058.79,2024,7,15,32613.34,8794.59,Cheque,Sonali Bank,ENT-20240715-00739
PO-202407-0523,2024-07-14,VND004,Organic Solutions,INV-20240714-2267,Women's Top,PRD0005,Fashion Apparel,CAT001,8560.94,433,3706887.02,370688.7,3336198.32,166809.92,3169388.4,158469.42,2024,7,14,3010918.98,633275.27,Nagad,,ENT-20240714-00523
PO-202407-1276,2024-07-14,VND007,Style Mart Brand,INV-20240714-1824,Jacket,PRD0008,Fashion Apparel,CAT001,3483.99,40,139359.6,23458.3,115901.3,10906.52,104994.78,6147.99,2024,7,14,98846.79,88583.76,Cash,,ENT-20240714-01276
PO-202407-0354,2024-07-14,VND004,Organic Solutions,INV-20240714-9091,Luggage,PRD0045,Hygiene Products,CAT004,1258.12,80,100649.6,28487.67,72161.93,6762.96,65398.97,5056.3,2024,7,14,60342.67,43523.91,Bkash,,ENT-20240714-00354
PO-202407-0032,2024-07-14,VND005,Yello Energy Co.,INV-20240714-4419,Face Toner,PRD0033,Hygiene Products,CAT004,3927.34,99,388806.66,35077.84,353728.82,3476.38,350252.44,4641.41,2024,7,14,345611.03,147331.08,Bkash,,ENT-20240714-00032
PO-202407-0523,2024-07-14,VND004,Organic Solutions,INV-20240714-2267,Women's Top,PRD0005,Fashion Apparel,CAT001,3464.14,26,90067.64,5386.88,84680.76,6627.34,78053.42,151.54,2024,7,14,77901.88,27270.21,Nagad,,ENT-20240714-00523
PO-202407-1391,2024-07-13,VND003,Shanti Enterprises,INV-20240713-7537,Disinfectant Spray,PRD0037,Cosmetics,CAT002,4476.23,72,322288.56,85738.03,236550.53,17137.62,219412.91,31728.89,2024,7,13,187684.02,45322.19,Nagad,,ENT-20240713-01391
PO-202407-1822,2024-07-13,VND007,Style Mart Brand,INV-20240713-1709,Kids Dress,PRD0067,Fashion Apparel,CAT001,3024.24,34,102824.16,13220.34,89603.82,6870.02,82733.8,654.67,2024,7,13,82079.13,31750.29,Cheque,BRAC Bank,ENT-20240713-01822
PO-202407-0731,2024-07-13,VND001,Creative Corporation,INV-20240713-9531,Men T-Shirt,PRD0026,Fashion Apparel,CAT001,3658.22,37,135354.14,37489.22,97864.92,517.07,97347.85,9629.46,2024,7,13,87718.39,20041.8,Bkash,,ENT-20240713-00731
PO-202407-0673,2024-07-12,VND006,Sun Corporation Ltd.,INV-20240712-7704,Footwear,PRD0065,Hygiene Products,CAT004,4572.36,3,13717.08,2317.36,11399.72,146.51,11253.21,811.7,2024,7,12,10441.51,2195.2,Bkash,,ENT-20240712-00673
PO-202407-0917,2024-07-12,VND001,Creative Corporation,INV-20240712-6411,Keychain,PRD0012,Accessories,CAT003,738.02,37,27306.74,117.84,27188.9,1511.95,25676.95,327.81,2024,7,12,25349.14,14449.79,Bkash,,ENT-20240712-00917
PO-202407-1557,2024-07-12,VND006,Sun Corporation Ltd.,INV-20240712-3546,Foot Care Cream,PRD0041,Cosmetics,CAT002,663.56,24,15925.44,4164.24,11761.2,58.41,11702.79,601.05,2024,7,12,11101.74,7048.92,Cheque,Sonali Bank,ENT-20240712-01557
PO-202407-0023,2024-07-11,VND005,Yello Energy Co.,INV-20240711-8278,Men Jeans,PRD0078,Fashion Apparel,CAT001,3977.74,37,147176.38,37162.64,110013.74,4224.11,105789.63,12689.41,2024,7,11,93100.22,24216.09,Cheque,Bkash,ENT-20240711-00023
PO-202407-0592,2024-07-11,VND007,Style Mart Brand,INV-20240711-1700,Jacket,PRD0008,Fashion Apparel,CAT001,1979.9,79,156412.1,4461.98,151950.12,760.52,151189.6,1842.87,2024,7,11,149346.73,127107.08,Cheque,Sonali Bank,ENT-20240711-00592
PO-202407-0834,2024-07-10,VND006,Sun Corporation Ltd.,INV-20240710-9460,Kids Dress,PRD0067,Fashion Apparel,CAT001,1636.91,87,142411.17,3000.58,139410.59,2787.03,136623.56,16748.78,2024,7,10,119874.78,4133.05,Cheque,Bkash,ENT-20240710-00834
PO-202407-1552,2024-07-10,VND002,Kazi Tea IND Ltd.,INV-20240710-1203,Face Wash,PRD0022,Hygiene Products,CAT004,4328.06,7,30296.42,2143.97,28152.45,2726.77,25425.68,1865.38,2024,7,10,23560.3,18628.63,Cheque,Bkash,ENT-20240710-01552
PO-202407-0254,2024-07-10,VND002,Kazi Tea IND Ltd.,INV-20240710-5533,Scarf,PRD0076,Accessories,CAT003,1701.75,20,34035.0,6199.65,27835.35,209.56,27625.79,3321.88,2024,7,10,24303.91,2408.96,Bank Transfer,Dutch Bangla Bank,ENT-20240710-00254
PO-202407-0148,2024-07-09,VND002,Kazi Tea IND Ltd.,INV-20240709-2581,Personal Toys,PRD0040,Hygiene Products,CAT004,1044.3,90,93987.0,10062.65,83924.35,6822.03,77102.32,6373.5,2024,7,9,70728.82,63114.86,Nagad,,ENT-20240709-00148
PO-202407-1175,2024-07-09,VND004,Organic Solutions,INV-20240709-9961,Sanitary Napkins,PRD0030,Hygiene Products,CAT004,2843.24,44,125102.56,15736.55,109366.01,3622.31,105743.7,329.03,2024,7,9,105414.67,87567.99,Bkash,,ENT-20240709-01175
PO-202407-0280,2024-07-09,VND003,Shanti Enterprises,INV-20240709-3509,Women's Top,PRD0005,Fashion Apparel,CAT001,2704.12,56,151430.72,21487.44,129943.28,4637.0,125306.28,15226.89,2024,7,9,110079.39,31579.63,Cheque,Janata Bank,ENT-20240709-00280
